,会社名,仕事内容,対象となる方,勤務地,給与,初年度年収
184,日本建物株式会社 | 地域採用のため福岡以外への転勤なし＊駅チカの天神オフィス,【ノルマなし】古くなった物件の買取(仕入れ)や不動産会社への定期連絡（土地売却の情報収集）など　＊不動産の知識や仕事の進め方は入社後学べます,【社会人デビューの方も大歓迎】◎40歳までの方（※）　◆未経験歓迎！入社後働きながら資格を取りたい方、新しい事にチャレンジしたい方　◎男女不問,九州支店／福岡県福岡市中央区天神2-14-8　福岡天神センタービル4階 《 希望しない転勤はありま…,月給25万円〜　＋　諸手当　＋　インセンティブあり ※試用期間3ヶ月／条件の変更なし。 ※上記月給には…,400万円～700万円
185,株式会社ドミール | 『ハウスドゥ！』甲府昭和通り店★全国No.1加盟店数※完休2日！,ハウスドゥ！甲府昭和通り店のハウスエージェントとして、地域のお客様に、土地・マンション・住宅・ビルなどの不動産売買の仲介業務をお任せ。,【学歴・経験・男女一切不問！】■40歳以下の方 ■要普通免許 ◎長い目で育てます！コツコツと努力を積み重ねていくことができる方歓迎します！,ハウスドゥ！甲府昭和通り店 山梨県中巨摩郡昭和町西条4309-1 ※U・Iターン歓迎 ※マイカー通…,"月給22万3,000円〜＋インセンティブ ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間2ヵ…",400万円～800万円
186,Rセキュリティ株式会社 | 20年連続増収増益◆2020年2~5月は売上前年比125％◆完全週休二日,【キッチン・洗面台等の上水道関連が多数】水回りのトラブルを抱えるお客様をレスキュー！★『水の学校』で基礎から学べるからスタートアップも安心！,"【""先輩全員""が未経験からのスタート！】学歴・職歴不問★未経験／第二新卒／フリーターの方まで幅広く歓迎★飲食/警備/営業/SEなど先輩の前職も多彩",★希望勤務地へ配属！ ★品川/難波/名古屋/新小岩/八王子/神戸/福岡のいずれかで勤務！ 【品川本…,月給25万円以上＋インセンティブ(歩合)＋シフト手当＋営業手当 ★年収1000万円可能 ★平均月収45万9809円…,450万円～550万円
187,株式会社エヌ事業hoop | ★土日祝休み ★1回の決算賞与で100万円獲得の可能性も!?,【景気に左右されない安定した業界！】ハウスメーカーや不動産企業などへの法人営業をお任せ ◆入社半年ほどで主任（月収70～80万円）になる先輩も！,【未経験OK◆学歴不問◆人柄＆意気込み重視の採用】★20～30代活躍中！★接客・販売・営業など、人と接する仕事の経験がある方は歓迎いたします！,★駅徒歩1分！通勤便利！ 東京都練馬区関町北2-24-13　銀雅パレス2-406,月給23万円〜35万円＋歩合（還元率10〜20%）＋決算賞与 ※試用期間3ヶ月あり（待遇に変更なし） ※上記…,400万円～600万円
188,株式会社クラスアップ | 実働6.5h｜残業月15h以下｜年間休日120日以上｜賞与年3回,【成約率70％超／個人ノルマなし】◆大手メーカーの「エコ商材」をお客様へ提案 ※個人の受注に加え、チーム単位でのインセンティブがあります◎,【面接1回／複数名の採用を予定】◆未経験・第二新卒歓迎 ◆要普免(AT限定可) ◆29歳以下の方(※) ☆平均年齢26歳！がっつり稼ぎたい方はご応募を！,【転勤なし！阪急・大阪メトロどちらも徒歩5分のアクセス！】 大阪本社／ 大阪府大阪市淀川区西中島1…,月給23万円〜30万円＋インセンティブ(平均10〜20万円／月)＋賞与年3回 ※経験やスキルを考慮して決定い…,400万円～1200万円
189,株式会社ネクストアビリティ | ★新規事業メンバー／希望の案件がしっかり選べます★,【関東・関西・東北/スーパーゼネコンの大型案件メイン】◆建築・土木・電気・空調衛生設備等の施工管理◎転勤なし、残業なし等、案件を選択できます,【25歳～67歳の幅広い年齢層が活躍中！】 ◆建築/土木/電気/空調衛生設備等の施工管理経験をお持ちの方※いずれか1つを満たしていればOK！,現場は関東、関西もしくは東北地方です◎ お住まいから通いやすいところで調整します◎ 直行直帰となり…,"月給：583,000円〜625,000円 ※試用期間6ヵ月有（条件変動なし。当初6ヵ月の試用期間中は契約社員。契約…",700万円～800万円
190,ニッカホーム株式会社 | リフォーム業界においてトップクラスのシェア率を実現！,【完全反響営業だからテレアポ・飛び込み・ノルマなし！】問い合わせをいただたらリフォームをご提案。じっくり時間をかけてあなたを育てます！,【未経験歓迎。営業デビューもOK！】◆高卒以上 ◆要普通自動車免許（AT限定可）◆元工場勤務の先輩も活躍中。メンバーのほとんどが未経験でした！,《全国採用》宮城、東京、神奈川、埼玉、千葉、長野、愛知、岐阜、三重、静岡、大阪、京都、奈良、岡山、…,宮城 １）月給23万円~30万円＋インセンティブ 関東・関西・中国・四国 ２）月給25万円以上＋インセンテ…,
191,株式会社アイム・ユニバース | 東京ヤクルトスワローズ公式スポンサー/借上社宅有/年休120日超,【100％反響営業】自社ブランドの木造建売戸建「バシレイオン」の提案をお任せ★沖縄支社で憧れていた働き方も叶えられる→本社勤務と同等の給与も◎,【学歴不問】◆不動産業界（売買・仕入れ等）の経験者、要普免（AT可）★給与交渉も大歓迎！ご経験によって入社時の段階で“管理職採用”も可能です♪,◆転勤なし ◆U・Iターン歓迎 ◆借上社宅完備＆引越代は会社負担！ 沖縄支社／沖縄県浦添市安波茶2…,月給32万円〜+インセンティブ+各手当+賞与年2回 ※経験・前職給与を最大限考慮の上、当社規定で優遇致し…,500万円～1000万円
192,株式会社LUXSIA | 《 月給25万円以上を保証 》TEL問合せOK：092-558-1620,【成果は待遇に反映！】住まいに関わるサービスをアドバイザー的な立ち位置で提案します。お客様の暮らしをより良くする──自信を持って提案,【 年齢不問！未経験OK！チャレンジしたいと本気で思っている方とお会いしたいです 】◎要普免（AT限定可）★30～50代活躍中！,＼ 転勤なし ／ ◆マイカー通勤OK（社用車でも通勤が可能） ◆UIターン歓迎 ※直行直帰なので、…,月給25万円〜45万円 + インセンティブ ★実際に月収70万円超えの社員も！ ★あなたの頑張りは、きちんと…,
193,株式会社アミューズ | 残業ほぼ無し／手厚い教育／正当評価／早期昇格＆高収入,【週休２日ペースのシフト制／残業ほぼナシ】アミューズメント施設での接客や店舗運営に取り組み、ステップアップ！未来の店長職を目指してください。,【未経験者歓迎！】※学歴・経歴・転職回数不問！☆社会人・正社員デビューを目指す方もOK！☆全くの異業種でもサービス業のマインドが活かせます！,大阪・和歌山・神戸・東京・千葉での募集です。 ※希望を考慮します。 ※U・Iターン歓迎です！ ＜大…,"月給：23万4,000円以上 ＋ 賞与年2回 ※経験・能力・スキル等を考慮の上、当社規定により決定します。 …",
194,株式会社東黎トラスト | 大阪府緊急雇用対策に賛同／完全週休2日制／年間休日休暇120日,【高価な商材を扱うからこそ味わえるやりがい】自社ブランドのデザイナーズマンションなどの提案をお任せ。提案に自信をもてる厳選された物件ばかり！,【未経験から活躍する先輩多数！若手限定採用】応募条件 → (1)29歳以下の方(※)／(2)一般的な社会人マナーのある方(挨拶・報連相 など),※転勤なし ※各線梅田駅チカ ※U・Iターン歓迎 ◆大阪市北区西天満4-14-3 リゾートトラスト…,月給27万円〜35万円（一律営業手当を含む） + 歩合給 ＋ 諸手当（1室受注するごとに、歩合がつきます） …,450万円～1000万円
195,アイデックス株式会社 | 「医療」×「不動産」で安定成長中！20代～30代社員活躍中！,【成長フェーズ！即役職者への抜擢可能性も】医師・富裕層を顧客とする不動産投資コンサルティング営業（新卒社員の育成もお任せいたします）,≪第二新卒特別特集参画中≫　■新規営業の経験をお持ちの方（業界は問いません）※高卒以上,東京都新宿区西新宿3-7-1 新宿パークタワー20階 ＜交通アクセス＞ JR「新宿駅」南口より徒歩…,月給28万円以上＋インセンティブ ※経験・年齢・能力を考慮のうえ、決定致します。 ※試用期間6ヶ月(期間…,400万円～1000万円
196,株式会社プレサンスコーポレーション | #東証一部上場#投資用マンション#教育体制充実#未経験歓迎,【CMの知名度抜群／誰もが知っているから提案しやすい】◆全国NO.1の供給数を誇る、自社ブランドマンション「プレサンスシリーズ」の提案営業です,～業界の知識・経験は一切不問です。未経験からチャレンジしたい方を歓迎します～　◆異業界からの転職者が多数活躍中◎意欲・人柄を重視した採用です,《大阪本社・大阪支店・名古屋支店いずれかでの採用です》 【本社】 ◆大阪府大阪市中央区城見1丁目2…,◆月給30万円＋業績給 ※業績給は実績に基づき、正当に評価します ※研修期間3ヶ月間は月給28万円〜,350万円～1200万円
197,株式会社インターレイズ | 脱毛サロン「STLASSH(ストラッシュ)」就職したい脱毛サロンNo.1*,【WEB面接実施中！】脱毛サロン「STLASSH(ストラッシュ)」で受付業務全般をお任せ★連休取得もOK！月収30万円以上可《就職したい脱毛サロンNo.1！》,【各種美容手当あり！働きながら”キレイ”になれる♪】高卒以上・経験不問・正社員デビューOK★美容に興味がある方大歓迎◎ ※39歳までの方,★勤務地は希望考慮し決定 ＼▼積極採用中エリア！▼／ 池袋・新宿・渋谷・銀座 ☆最大20万円の引越…,◆月給21万円〜40万円＋達成手当＋賞与年2回 ◎ボーナス(年2回) ◎店舗売上達成手当(3万円〜／月) ◎目標…,280万円～350万円
198,株式会社サーバントップ | 直行直帰で残業少なめ／テレアポ・飛び込み一切なし／賞与年2回,【入社初月から月給35万円／直行直帰で自由度大】光熱費が3～5割も削減できるエコ商材を提案。※専任スタッフが取得したアポに訪問＆マニュアルも完備,＼20～30代の男性社員活躍中／【未経験歓迎】◎38歳までの方 ◎要普通免許(AT限定可) ★経験不問！成長したい想いだけを持って入社してきてください！,東京・名古屋・大阪・横浜・埼玉のいずれか ※各担当エリアへご自宅から直行直帰 ◆東京都千代田区神田…,◆月給：35万円〜＋インセンティブ＋賞与年2回 ※あなたの経験・年齢を考慮のうえ、当社規定により優遇し…,500万円～950万円
199,株式会社ノベルワークス | 完全週休2日制（土日祝休み）／ 大阪府緊急雇用対策に賛同,【客先常駐なし／kintoneとAWSで成長できる職場！】◆自社開発を中心にシステム開発をお任せします ◆社内ベンチャー、将来は独立も会社が応援！,【学歴不問／20代を中心に活躍中！】◆JavaScriptでの開発経験のある方（経験が浅い方も歓迎！）◆昇給年2回／先輩には入社5年で年収が3倍も！,「フルリモート勤務」「出社」選択可能！ 詳しくは、面接にてお問い合わせください。 本社：大阪府大阪…,月給27万〜54万円+諸手当+賞与 ※上記は最低保証金額です ※経験・能力を考慮の上、決定いたします ※試…,
200,GMO TECH株式会社 | <東証マザーズ上場> 面接~入社まで完全オンライン★福岡注力採用,【上場企業でスピード出世を実現＝最短半年でリーダー昇格が可能】インターネット集客の課題に対し、SNS広告などを含むWebマーケティング施策を提案！,【面接保証／営業経験(1年以上)×専門・短大・大学卒業から16年以内】★未経験・第二新卒OK★Web広告に興味ある方◎★スキルに応じて2次面接から案内,【福岡拠点は超積極採用】 ★早期入社できる方は優先的に選考します ★服装自由 ★UIターン歓迎 =…,【月給25万円〜60万円】＋ インセンティブ支給 ★前職給与考慮 ★入社1年で月平均20万円のインセンを手に…,300万円～1000万円
201,株式会社杉並モータース | ★残業代100%支給★有休取得率ほぼ100％ ★Web面接OK★日勤勤務,【もっと評価されるべき仕事！⇒その想いから高待遇でお迎え】◆車のトラブルに駆けつけて、お客様のお困りごとを解決！★待機時間は自由に活用してOK,≪第二新卒特別特集参画中≫第二新卒・未経験歓迎！◆学歴不問◆要普免(MT)・中型免許 ★レッカー会社・修理工場の経験が活かせる！,★東京で働きたい方歓迎！ ★自転車、バイク通勤OK ★転居を伴う転勤なし 【本社】 東京都杉並区高…,月給：25万円〜35万円 ★残業代は100%支給いたします！ ※経験・能力を考慮し、決定いたします。 ※上記…,400万円～600万円
202,KUROFUNE＆PARTNERS株式会社 | ★オープニングスタッフ募集★1年目全員が年収500万円以上の実績,【未経験でも安心のフォロー体制を整えています】お客様先を訪問し、宝飾品・ブランド品の出張査定・買取をおこないます。※テレアポ・飛び込みナシ！,【未経験者、歓迎！】※第二新卒の方や正社員・社会人デビューを目指す方も大歓迎！※学歴・経歴・性別不問！◆40歳以下の方◆要普免（AT可）,◎全営業所車通勤OK！ ◎交通費支給！◎転勤なし！ ■大宮営業所＊積極採用中　2020年4月新規オ…,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…,500万円～700万円
203,株式会社ビータオート | 【大阪府緊急雇用対策に賛同】★年収800万円も可能★残業少なめ,【完全反響型営業！飛び込み・テレアポ・チラシ配り等なし】ご来店されたお客様に対して自動車の提案をお任せ。 ※売れ筋の車だから成約率は60％以上,【未経験・第二新卒歓迎！業界経験は不問！】■高卒以上 ■要普免(AT限定可) ※20～30代の若手メンバー活躍中 ※接客・販売経験がある方は活かせます,【転勤なし！マイカー通勤可(無料駐車場を完備)】 ※U・Iターン歓迎 ◆VitaAuto大阪狭山店…,◆月給26万円〜50万円＋諸手当＋賞与年2回 ※経験・能力を考慮の上、当社規定により決定いたします ※試…,310万円～600万円
204,株式会社WILL | 「MOODYZ(ムーディーズ)」「S1(エスワン)」などを手がける企業！,AV作品の企画、出演者のキャスティング、プロモーションなど、作品をトータルプロデュースします！★有名女優の作品にも携われます！,≪未経験・第二新卒大歓迎！≫ ■学歴不問 ■35歳以下の方 ※多くの人と関わりながら制作するので、協調性や柔軟な対応力がある方が活躍できます！,★六本木駅チカ！徒歩5分！転勤なし★ 東京都港区六本木3-15-20,年俸380万円〜400万円 ※上記はあくまで最低保証給です ※経験・能力等を十分考慮の上、決定します ※年…,
205,大東建託株式会社 | 【東証一部・名証一部上場】◎フレックス制◎平均年収1021万円,【平均年収1021万円！】土地オーナー様に対して、資産運用につながる賃貸経営をご提案。長くお客様に寄り添い、高収入を目指せます！,《営業・業界経験不問》★9割以上が未経験スタート！◆高卒以上◆59歳以下の方(定年が60歳のため)◆要普免(AT限定可)★完全週休2日で年間休日125日,《横須賀、横浜南、横浜西、大和、藤沢、平塚、小田原エリアで積極採用！》 《社用車での通勤も可能！》…,"月給 22万5,000円 ＋ 残業手当 ＋ インセンティブ ＋ 賞与年2回※個人の実績に応じて支給 ※月給には一律…",360万円～1000万円
206,レイス株式会社 | 国内TOPクラスの総合コンサルティング会社,◆クライアントの事業推進や経営課題に対し、「経営幹部・即戦力人材のコンサルティング」というソリューションの実行を行って頂きます。,《営業部門の次代を牽引する活躍に期待！》 【応募条件】◆現社在籍丸3年以上 ◆営業経験2年以上 ◎万全の体制で長期的なキャリア形成を支援,◆全国で同時募集中です◆ 本社／東京都中央区京橋3-1-1　東京スクエアガーデン 7F 大阪支社／…,"月給30万円〜75万円 ※経験・能力を考慮の上決定します。 ※一律指定職種手当 (30,000円)を含む。 ※月6…",450万円～1050万円
207,スカイジャパン株式会社 | 入社1年目で月給９万円UPした社員も！在宅勤務もOK！,《ノルマなし！未経験から稼げる営業に★》商社や販売店などに向けて、太陽光発電に使用するパネルや資材など、自社製品の提案営業をお任せ,《未経験大歓迎！テレワーク勤務もOK！20～30代活躍中》◎要普免（AT限定可）◎学歴・経歴は一切不問！丁寧な研修があるから営業デビューでも安心♪,【兵庫の姫路・神戸で募集！】 ※転勤なし／U・Iターン歓迎 【本社】 兵庫県姫路市東夢前台3-62…,月給30万円〜 + 賞与(年2回) + インセンティブ ★待遇条件の詳細については、面接でご相談ください！ ※…,400万円～600万円
208,大長産業株式会社 | 創業32年の安定企業／未経験歓迎／月給30万円～／40代以上活躍中,＼”国が100％助成する住宅防音工事”の提案営業をお任せします／未経験でも挑戦しやすい営業職！頑張りは成果として還元します。,＼40代以上が活躍しています／職種・業種未経験OK！学歴・転職回数不問！選考基準は、あなたの意思、挑戦意欲のみ！,＼2拠点同時募集◆転勤なし／ 【本社】 神奈川県大和市深見西2-4-14 【昭島支店】 東京都昭島…,"月給30万円〜＋歩合給 ※月給30万円の場合、固定残業手当60時間分91,837円を含む。 ※上記時間を超えた…",360万円～420万円
209,レイス株式会社 | 国内TOPクラスの総合コンサルティング会社,◆クライアントの事業推進や経営課題に対し、「経営幹部・即戦力人材のコンサルティング」というソリューションの実行を行って頂きます。,《営業部門の次代を牽引する活躍に期待！》 【応募条件】◆現社在籍丸3年以上 ◆営業経験2年以上 ◎万全の体制で長期的なキャリア形成を支援,【岡山エリア限定募集/初回勤務地確約】 岡山市北区駅元町15-1　リットシティビル 3F,"月給30万円〜75万円 ※経験・能力を考慮の上決定します。 ※一律指定職種手当 (30,000円)を含む。 ※月6…",450万円～1050万円
210,丸栄産業株式会社 | ＼組織運営のコアメンバーを募集／防食メンテナンスのプロ集団,《即戦力メンバーを募集》■防食事業のプロジェクトリーダー（施工管理職）／大規模プラント設備の常駐工事だからこその仕事のやりやすさがあります,＜経験の浅い方&異分野出身者も多数活躍中＞ ◎施工管理技士の有資格者限定（建築・土木など分野・級数も不問）★中堅社員で年収700～900万以上も可能,【U・Iターン歓迎／マイカー通勤可】 希望を考慮し、以下の希望勤務地へ配属 本社(福岡県北九州市)…,月給 28万円〜 50万円＋諸手当＋賞与年2回 ※年齢、経験、能力を考慮の上、優遇します。 ※３ヶ月間の試…,450万円～800万円
211,株式会社阿部建設 | ジョブチャレ北海道対象◆U/Iターン支援/有給取得97％/WEB面接OK,【農業土木の司令塔として活躍！】◆農地の造成・改良工事の現場監督として、作業員たちを束ねながら工事を成功へと導く仕事です★充実の教育制度,＊専門学校で学べる＊【未経験＆第二新卒歓迎】◆要普免(AT可) ★「農業の未来を支える仕事に就きたい」「U／Iターンで北海道で働きたい」方はぜひ！,＊転勤はありません ＊U・Iターン歓迎！ ＊マイカー通勤OK（駐車場完備） ＊直行直帰OK 【注目…,月給:25万〜＋諸手当 ※経験・年齢・能力を考慮のうえ、決定致します。 ※専門学校に通う方は面接でご相…,400万円～500万円
